id,Gender,CustomerType,Age,TravelType,Class,FlightDistance,InflightWifi,FoodAndDrink,SeatComfort,InflightEntertainment,OnboardService,LegRoomService,InflightService,Cleanliness,Satisfaction
118319,Female,Loyal Customer,36,Business travel,Business,3347,3,1,1,3,3,3,3,2,neutral or dissatisfied
7467,Female,Loyal Customer,45,Business travel,Business,3334,2,4,5,4,4,4,4,5,satisfied
68001,Female,Loyal Customer,52,Business travel,Business,3475,2,4,4,4,4,4,4,3,satisfied
73302,Male,Loyal Customer,26,Business travel,Business,3960,1,4,4,4,4,2,4,4,satisfied
51947,Male,Loyal Customer,45,Business travel,Business,3100,3,1,3,4,4,4,4,1,satisfied
4585,Male,Loyal Customer,36,Business travel,Business,3024,4,1,4,4,4,4,4,1,neutral or dissatisfied
111667,Female,Loyal Customer,46,Business travel,Business,3705,4,4,4,4,4,4,4,4,neutral or dissatisfied
59891,Female,Loyal Customer,21,Business travel,Business,3510,3,3,3,3,3,3,3,3,neutral or dissatisfied
31147,Male,Loyal Customer,32,Business travel,Business,3037,2,4,4,4,4,1,5,4,satisfied
73604,Female,Loyal Customer,55,Business travel,Business,3634,0,4,5,4,4,1,4,3,satisfied
105708,Female,Loyal Customer,42,Business travel,Business,3094,5,4,5,2,2,2,2,3,satisfied
65579,Female,Loyal Customer,47,Business travel,Business,3465,1,3,4,1,1,1,1,4,neutral or dissatisfied
8346,Female,Loyal Customer,50,Business travel,Business,3175,4,2,5,5,5,5,5,3,satisfied
101275,Male,Loyal Customer,52,Business travel,Business,3747,5,2,5,4,4,4,4,5,satisfied
28852,Female,Loyal Customer,41,Business travel,Business,3636,1,3,4,4,4,4,4,2,satisfied
114039,Female,Loyal Customer,45,Business travel,Business,3732,5,5,5,5,5,5,5,4,satisfied
66800,Female,Loyal Customer,43,Business travel,Business,3854,5,5,4,5,5,5,5,3,satisfied
47057,Male,Loyal Customer,23,Business travel,Business,3073,4,5,5,5,1,3,3,5,satisfied
23328,Female,Loyal Customer,38,Business travel,Business,3753,2,1,5,4,4,4,4,1,satisfied
111570,Female,Loyal Customer,41,Business travel,Business,3238,2,5,5,4,4,4,4,4,satisfied
49475,Female,Loyal Customer,43,Business travel,Business,3004,3,2,3,2,2,2,2,2,neutral or dissatisfied
18128,Male,Loyal Customer,23,Business travel,Business,3095,5,5,3,5,2,5,3,5,satisfied
104375,Male,Loyal Customer,51,Business travel,Business,3090,2,3,4,2,2,2,2,1,neutral or dissatisfied
103793,Male,Loyal Customer,30,Business travel,Business,3131,1,5,5,5,5,5,5,5,satisfied
93909,Male,Loyal Customer,47,Business travel,Business,3496,2,2,5,5,5,5,5,4,satisfied
126917,Female,Loyal Customer,36,Business travel,Business,3130,2,5,5,5,5,5,5,3,satisfied
8782,Male,Loyal Customer,45,Business travel,Business,3305,2,3,5,4,4,4,4,3,satisfied
663,Female,Loyal Customer,45,Business travel,Business,3712,4,3,5,4,4,4,4,5,satisfied
59599,Female,Loyal Customer,30,Business travel,Business,3720,2,2,2,2,2,4,4,2,neutral or dissatisfied
47795,Male,Loyal Customer,42,Business travel,Business,3665,5,5,4,4,4,4,4,3,satisfied
111305,Male,Loyal Customer,25,Business travel,Business,3465,2,2,2,2,4,5,3,2,neutral or dissatisfied
85109,Male,Loyal Customer,46,Business travel,Business,3995,4,3,4,5,5,5,5,4,satisfied
42926,Female,Loyal Customer,43,Business travel,Business,3946,3,3,5,4,4,4,4,4,satisfied
17284,Male,Loyal Customer,32,Business travel,Business,3607,1,5,5,5,4,2,5,5,satisfied
